%%TM,TN,TQ,Stat,Clas,M,PR,PA,PE,PT,MR,MA,ME,MT,H,Str,FX,FY,FZ,FVX,FVY,FVZ,FVR,FAX,FAY,FAZ,FT,FirstLat,firstLong,FirstAlt,MeasLat,MeasLon,MeasAlt,RNG_MIN,RNG_MAX,AZM_MIN,AZM_MAX,ELV_MIN,ELV_MAX
50,97,9,4,0,1,49089.01,235.6656,3.0636,23458.449,49089.01,235.6656,3.0636,23458.449,0,0,-40477.7969,-27647.7129,2623.5305,-155.53,160.12,-3.41,223.25,0,0,0,23458.45,13.187484,78.163879,754.630005,13.187484,78.163879,754.6300049,48889.01,49289.01,234.37,236.97,1.86,4.26
50,40,14,3,0,1,3704.65,200.7662,9.352,23818.465,3704.87,200.8516,9.3083,23818.465,1,25196.93,-1299.6831,-3417.0083,600.1368,1.25,-11.56,10.18,15.46,0,0,0,23818.46,13.187481,78.163879,754.039978,13.187481,78.163879,754.039978,2001.21,5408.09,198.17,203.37,6.95,11.75
50,40,14,3,0,1,3710.71,200.7834,9.3871,23818.965,3715.07,200.6062,9.3328,23818.969,1,34890.45,-1293.9513,-3427.8398,603.649,5.33,-15.69,8.92,18.82,0,0,0,23818.97,13.187481,78.163879,754.039978,13.187481,78.163879,754.039978,3510.71,3910.71,199.48,202.08,8.19,10.59
50,40,14,3,0,1,3720.37,200.5985,9.4075,23819.469,3725.83,200.5914,9.1731,23819.473,1,40642.37,-1292.6162,-3440.0393,600.077,4.27,-19.2,2.51,19.83,0,0,0,23819.47,13.187481,78.163879,754.039978,13.187481,78.163879,754.039978,3520.37,3920.37,199.3,201.9,8.21,10.61
50,40,14,3,0,1,3731.88,200.5104,9.2726,23819.973,3716.58,199.9012,9.0124,23820,1,11917,-1267.8401,-3450.665,590.7913,20.27,-19.92,-4.93,28.85,0,0,0,23820,13.187481,78.163879,754.039978,13.187481,78.163879,754.0499878,3531.88,3931.88,199.21,201.81,8.07,10.47
50,40,14,3,0,1,3728.79,199.9728,9.078,23820.5,3732.82,200.5199,9.1395,23820.535,1,56138.63,-1275.3721,-3455.9399,590.699,9.13,-17.05,-3.43,19.64,0,0,0,23820.54,13.187481,78.163879,754.049988,13.187481,78.163879,754.0499878,3528.79,3928.79,198.67,201.27,7.88,10.28
50,40,14,3,0,1,3736.89,200.1436,9.0684,23821.035,3742.27,200.3932,9.0506,23821.039,1,91181.46,-1279.0758,-3464.2642,588.8381,4.31,-16.94,-3.52,17.83,0,0,0,23821.04,13.187481,78.163879,754.049988,13.187481,78.163879,754.0499878,3536.89,3936.89,198.84,201.44,7.87,10.27
50,40,14,3,0,1,3746.34,200.1884,9.0158,23821.539,3746.9,200.2245,9.0045,23821.574,1,77857.6,-1278.0388,-3472.6536,586.7814,3.69,-16.9,-3.68,17.68,0,0,0,23821.57,13.187481,78.163879,754.049988,13.187481,78.163879,754.0499878,3546.34,3946.34,198.89,201.49,7.82,10.22
50,40,14,3,0,1,3753.52,200.1333,8.9654,23822.074,3756.84,200.2208,8.7428,23822.117,1,21802.86,-1279.4155,-3482.4917,578.72,1.92,-17.6,-7.13,19.08,0,0,0,23822.12,13.187481,78.163879,754.049988,13.187481,78.163879,754.0499878,3553.52,3953.52,198.83,201.43,7.77,10.17
50,40,14,3,0,1,3762.23,200.1119,8.7937,23822.617,3760.59,200.0481,8.9619,23822.66,1,96160.73,-1276.2603,-3490.584,579.8223,3.12,-17.25,-4.55,18.11,0,0,0,23822.66,13.187481,78.163879,754.049988,13.187481,78.163879,754.0499878,3562.23,3962.23,198.81,201.41,7.59,9.99
50,40,14,3,0,1,3768.67,200.0158,8.8153,23823.16,3763.89,200.0438,8.9464,23823.152,1,60488.54,-1274.5425,-3496.6438,580.9124,3.21,-15.97,-2.69,16.51,0,0,0,23823.15,13.187481,78.163879,754.049988,13.187481,78.163879,754.0499878,3568.67,3968.67,198.72,201.32,7.62,10.02
50,40,14,3,0,1,3767.25,200.0222,8.8689,23823.652,3767.25,200.0222,8.8689,23823.652,0,0,-1274.4229,-3497.2366,580.8127,3.21,-15.97,-2.69,16.51,0,0,0,23823.65,13.187481,78.163879,754.049988,13.187481,78.163879,754.0499878,3567.25,3967.25,198.72,201.32,7.67,10.07
